Name of Company,Account no (obitrax generated),Phone number,Address,Company City,Company State,Primary contact first name,Primary contact last name,Primary contact phone number,Email address
CLEAR IMPRESSIONS LTD.                                                                                                                                                                                  ,6080010044,08037870195         ,"110,MurtalaMohammedWay,",KANO                                    ,KANO,CLEAR IMPRESSIONS LTD         ,KANO                          ,'08000000000,CLEARIMP@YAHOO.COM                                                                                                                                                                                      
ECO BANK NIGERIA PLC - KANO (WUDIL BR)                                                                                                                                                                  ,6080010046,'08000000000,"54,SharadaPhase1,",KANO STATE                              ,KANO,OCEANIC BANK                  ,WUDIL - KANO                  ,'08000000000,noemailaddress@thiscorporate.com
ECO BANK NIGERIA PLC - KANO CITY BR                                                                                                                                                                     ,6080010047,07064870357         ,"GayaRoad,WudilKano",KANO                                    ,KANO,OCEANIC BANK KANO             ,KANO CITY BR                  ,'08000000000,noemailaddress@thiscorporate.com
APTEKA PHARMA LTD - (LOGISTICS DIVISION)                                                                                                                                                                ,6080010048,'08000000000,Opp.ShahugiPrimarySchool,KANO MUNICIPAL                          ,KANO,APTEKA PHARMA LTD             ,KANO                          ,08033837093         ,aptekaaccount@yahoo.com                                                                                                                                                                                 
DFID NIGERIA                                                                                                                                                                                            ,6080010049,'08000000000,20DawakiRoadMassaramaGraKano,KANO                                    ,KANO,DFID NIGERIA                  ,KANO                          ,'08000000000,noemailaddress@thiscorporate.com
FECCOX PHARMACEUTICALS LIMITED - LOGISTICS                                                                                                                                                              ,6080010050,08023358298         ,"35,NassarawaHospitalRd",KANO                                    ,KANO,FECCOX PHARMACEUTICALS        ,LOGISTICS - KANO              ,'08000000000,feccox@yahoo.com                                                                                                                                                                                        
ASIA PLASTICS INDUSTRY (NIG) LTD.                                                                                                                                                                       ,6080010051,08028647307         ,"1A,AirportRd,Opp.AhmadiyaJunction",KANO                                    ,KANO,APIN                          ,KANO                          ,'08000000000,office@apin-footwear.com                                                                                                                                                                                
NIKOL DENTAL SUPPLIES                                                                                                                                                                                   ,6080010052,08037033451         ,"Km18,HadejiaRoad,Jogana-KanoState",KANO                                    ,KANO,NIKOL DENTAL SUPPLIES         ,KANO                          ,002348037033451     ,nikoldental2009@yahoo.com                                                                                                                                                                               
MICROBRIDGE NIGERIA ENTERPRISES LIMITED                                                                                                                                                                 ,6080010053,'08000000000,"10,OdutolaStreet,SabonGari",KANO                                    ,KANO,NASIR                         ,HANSA                         ,08032758148         ,checkyusi@yahoo.com                                                                                                                                                                                     
ZAINAB PHARMACY                                                                                                                                                                                         ,6080010054,08032075225         ,"9A,BompaiRoad,",KANO                                    ,KANO,MARY                          ,PETER                         ,'08000000000,zainabpharmacy@yahoo.co.uk                                                                                                                                                                              
FULLMARK COMMODITY LIMITED - KANO                                                                                                                                                                       ,6080010055,07030319566         ,"ClubRoad,13A,Kano",KANO MUNICIPAL                          ,KANO,ADEJOKE                       ,A. OLALERE                    ,'08000000000,noemailaddress@thiscorporate.com
MASH NIGERIA LIMITED                                                                                                                                                                                    ,6080010056,08033268813         ,"Km25,HadejiaRoad,Gokarawa",KANO                                    ,KANO,GRACE                         ,JAMES                         ,'08000000000,mashchem@gmail.com                                                                                                                                                                                      
DANTATA FOOD & ALLIED PRODUCTS COMPANY LTD                                                                                                                                                              ,6080010057,08034831077         ,"13B,PostOfficeRoad",KANO                                    ,KANO,BABAJO ALIYU                  ,IBRAHIM                       ,'08000000000,noemailaddress@thiscorporate.com
KEYBOARD VENTURES                                                                                                                                                                                       ,6080010058,09092000700         ,"43,TafawaBalewaWay,OppScoaMotors,",KANO MUNICIPAL                          ,KANO,ABDULRASHEED                  ,SHITTU                        ,'08000000000,ABDULRD@KEYBOARDVENTURES.COM.NG                                                                                                                                                                         
ACADEMY EQUIPMENT NIGERIA                                                                                                                                                                               ,6080010059,08033052654         ,"12/13,ZooRoad",KANO MUNICIPAL                          ,KANO,YOUSUF                        ,JAAFAR                        ,'08000000000,ACADEMYEQUIP@GMAIL.COM                                                                                                                                                                                  
BALLY PLASTICS AND FOOTWEAR (NIG) LTD                                                                                                                                                                   ,6080010060,08034080826         ,"26B,PostOfficeRoad,",KANO MUNICIPAL                          ,KANO,MS.                           ,ROWENNA                       ,'08000000000,OFFICE_BALLYPLASTICS@YAHOO.COM                                                                                                                                                                          
HDF & SONS NIGERIA LIMITED                                                                                                                                                                              ,6080010061,08037051616         ,"BompaiDakata,TuntunIndustrialArea",KANO MUNICIPAL                          ,KANO,SHADY                         ,YASSIN                        ,'08000000000,HDFSONS@HOTMAIL.COM                                                                                                                                                                                     
EL - SAMAD INVESTMENT & RESOURCES LTD                                                                                                                                                                   ,6080010062,08033174735         ,"24,UnityRoad,",KANO MUNICIPAL                          ,KANO,SAMMANI                       ,ADAM                          ,'08000000000,SAMMANIWAX@YAHOO.COM                                                                                                                                                                                    
BAYERO UNIVERSITY KANO - (VICE CHANCELLOR OFFICE)                                                                                                                                                       ,6080010063,08139200099         ,"8,UnityRoad,KwariMarket,",KANO MUNICIPAL                          ,KANO,ABDUL-RAHEEM A.               ,ZUBAIRO                       ,08096564256         ,BUK@BAYERO.COM                                                                                                                                                                                          
CENTURY GLOBAL AGRICULTURAL LTD                                                                                                                                                                         ,6080010064,08033614523         ,Kano,KANO MUNICIPAL                          ,KANO,BELLO                         ,HAUSAWA                       ,08022346070         ,BELLOBALAHAUSAWA@YAHOO.COM                                                                                                                                                                              
BERLEY BEDDINGS                                                                                                                                                                                         ,1200000001,07068636990         ,"934,NigerStreet,OffCoca-Cola,Bata-Kano",EBUTE METTA                             ,LAGOS,EBERE                         ,OJIMELUKWE                    ,'08000000000,berleycares@yahoo.com                                                                                                                                                                                   
JESSY MART                                                                                                                                                                                              ,1200000002,08092578857         ,"NrcCompound,EbuteMetta,Lagos",ILUPEJU                                 ,LAGOS,MARTIN                        ,ONYIRIOHA                     ,'08000000000,jessymartng@gmail.com                                                                                                                                                                                   
COSTA                                                                                                                                                                                                   ,1200000003,08178652393         ,"7,ShobayoStreet,Lagos.",IPAJA                                   ,LAGOS,ISIDORO                       ,BALAKI                        ,'08000000000,eazywealthcreation@gmail.com                                                                                                                                                                            
DIRIS JEWELLRY                                                                                                                                                                                          ,1200000004,09093306851         ,"27,SoroyeSowemimoStreet,Lagos.",LAGOS                                   ,LAGOS,ABUBAKAR TAOFEEK              ,OLADIMEJI                     ,'08000000000,dirisjewellery@gmail.com                                                                                                                                                                                
MEALAKIDZ                                                                                                                                                                                               ,1200000005,08083354707         ,"14,OgunsolaStreet,AgudaOliba",IKEJA                                   ,LAGOS,OLABISI KHADIJAT              ,OGUNBAYO                      ,'08000000000,bilzibell01@yahoo.com                                                                                                                                                                                   
BALOGTEK VENTURES                                                                                                                                                                                       ,1200000006,08050398817         ,"2,JosephStreet,OffOpebiLinkBridge,Lagos.",IKEJA                                   ,LAGOS,OLAIDE                        ,BALOGUN                       ,'08000000000,balog.technology@yahoo.com                                                                                                                                                                              
MASTERBIDS - (BASSEY INIABASI)                                                                                                                                                                          ,1200000010,07069545327         ,"43,AdeniyiJonesAve,Lagos.",LEKKI                                   ,LAGOS,BASSEY                        ,INIABASI                      ,'08000000000,b.iniabasi@gmail.com                                                                                                                                                                                    
SPRINGLIFE STORE                                                                                                                                                                                        ,1200000011,08087996063         ,"14B,TaiwoIsholaStreet,Lekki-Ajah,Lagos.",MARYLAND                                ,LAGOS,CHIJIOKE                      ,OKEH                          ,'08000000000,chidexcares@yahoo.com                                                                                                                                                                                   
BESTMILLZ                                                                                                                                                                                               ,1200000012,08162444126         ,"47,SunmolaStreet,Mende-Lagos.",SURULERE                                ,LAGOS,RAYMOND                       ,BEST                          ,'08000000000,best.mills@yahoo.com                                                                                                                                                                                    
SHIRT DEALS                                                                                                                                                                                             ,1200000017,08099443602         ,"84,AdeniranOgunsanya,Lagos.",VICTORIA ISLAND                         ,LAGOS,BODE                          ,OGUNMOLA                      ,08172004141         ,bodeogunmola@hotmail.com                                                                                                                                                                                
STEGOMAYA GADGETS                                                                                                                                                                                       ,1200000019,08059222748         ,"Plot206,MuriOkunolaStreet,Lagos.",GBAGADA                                 ,LAGOS,SEUN                          ,SAMAGBEYI                     ,08030710097         ,sir_gigs2003@yahoo.com                                                                                                                                                                                  
BABY BEST                                                                                                                                                                                               ,1200000020,08162244127         ,"Plot79,House4,LanreAwolokunRoad,PhaseIi,GbagadaEstate-NciBusStop,Lagos.",MAGODO                                  ,LAGOS,FATIMA                        ,TINUOLA SULU GAMBARI          ,08130307753         ,fatigambari@yahoo.com                                                                                                                                                                                   
LISARON (IBIRONKE OGUNKOLA)                                                                                                                                                                             ,1200000021,08033527834         ,"Shop1,EstatePlazaMagodo,AlongEmmanuelKeshi,Shangisha",KETU                                    ,LAGOS,IBIRONKE                      ,OGUNKOYA                      ,'08000000000,ronkeslim@yahoo.com                                                                                                                                                                                     
SASSITUDE                                                                                                                                                                                               ,1200000022,08098404000         ,"19,OnakoyaStreet,IkosiLagos.",LEKKI                                   ,LAGOS,NGOZI                         ,NGOWADI                       ,'08000000000,dgal365@yahoo.com                                                                                                                                                                                       
EDOSYSS                                                                                                                                                                                                 ,1200000023,08134610096         ,"Plot15,Block54ARd14,AdebayoDohertyRoad,LekkiPhaseI",OBALENDE                                ,LAGOS,PEARL                         ,KACHIKWU                      ,'08000000000,pearlop10@yahoo.com                                                                                                                                                                                     
CHOICES STORES                                                                                                                                                                                          ,1200000024,08062215116         ,"E4,AbdullahiAdamuEstate,Ijeh-Lagos",ABULE EGBA                              ,LAGOS,OYEBANJI                      ,YUSUF                         ,'08000000000,choicesstores@gmail.com                                                                                                                                                                                 
EVENTIONS                                                                                                                                                                                               ,1200000025,08122878630         ,"Plot5,AjakaleStreet,Lagos.",AJAH                                    ,LAGOS,D. LAMI                       ,ATTAH                         ,'08000000000,lami@evention.com.ng                                                                                                                                                                                    
UMORU GODSWILL (ALPHAPLUS ICT)                                                                                                                                                                          ,1200000026,08069606296         ,"Close58,House155Vgc-Lagos",VICTORIA ISLAND                         ,LAGOS,UMORU                         ,GODSWILL                      ,'08000000000,godswill4reel@gmail.com                                                                                                                                                                                 
FLOURISH                                                                                                                                                                                                ,1200000027,'08000000000,"27,KarimuKotun,Lagos.",IPAJA                                   ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
MYSUREDEAL                                                                                                                                                                                              ,1200000028,08130713103         ,"127/129,CampDaviesRoad,Ipaja-Ayobo,Lagos.",IKEJA                                   ,LAGOS,OLAIDE                        ,ALIM                          ,'08000000000,olaidealim@gmail.com                                                                                                                                                                                    
GOG GLOBAL VENTURES                                                                                                                                                                                     ,1200000029,07061683344         ,"69,MobolajiBankAnthonyWay,NearOlowuJunction,Ikeja-Lagos.",IKEJA                                   ,LAGOS,VICTOR                        ,AHMED                         ,'08000000000,gogventures@gmail.com                                                                                                                                                                                   
DORTH CREATIONS                                                                                                                                                                                         ,1200000030,07034572333         ,"44,AwolowoWay,Lagos",ALIMOSHO                                ,LAGOS,OLUDOTUN                      ,ONAKOYA                       ,'08000000000,dorth.creations@gmail.com                                                                                                                                                                               
SUAYE BANIGO (NAIJA HEALTH E - LIVING                                                                                                                                                                   ,1200000031,08055299999         ,"1,AwojobiStreet,JimohBusStopShasha-Akowonjo,Lagos",AJAH                                    ,LAGOS,SUAYE                         ,BANIGO                        ,'08000000000,traxxisbyss@gmail.com                                                                                                                                                                                   
TRENDY FASHION                                                                                                                                                                                          ,1200000032,08034546888         ,"27B,Lekki-EpeExp.Way,Ajiwe-Ajah,Lagos.",OKOTA                                   ,LAGOS,EKEBUIKE                      ,JOHN                          ,'08000000000,trendyfashionworld@gmail.com                                                                                                                                                                            
NUTRIDOMAIN (CHARLES NJOKU)                                                                                                                                                                             ,1200000033,08123347170         ,"6,AkinmorinStreet,Okota",ILUPEJU                                 ,LAGOS,CHARLES                       ,NJOKU                         ,'08000000000,charles.njoku@gmail.com                                                                                                                                                                                 
LANZ BUSINESS VENTURES                                                                                                                                                                                  ,1200000034,08053776338         ,"6/8,IlupejuBypass,Lagos.",OSHODI                                  ,LAGOS,OLAYINKA                      ,MUTIU                         ,'08000000000,ganisolayinka@yahoo.com                                                                                                                                                                                 
SHOWGEAR LTD                                                                                                                                                                                            ,1200000035,09037748851         ,"ShopF8,OshodiElectronicMarket",YABA                                    ,LAGOS,BELLO                         ,ADESEGUN                      ,'08000000000,showgearonline@gmail.com                                                                                                                                                                                
"PRETTY DEBBIE CLOTHINGS

BUNMI BALOGUN                                                                                                                                                                  ",1200000037,08077705481         ,"18,LittleRoad,Lagos.",IKEJA                                   ,LAGOS,BUNMI                         ,BALOGUN                       ,'08000000000,bunmi_08@yahoo.com                                                                                                                                                                                      
"DOSHMALL

UGOCHUKWU ONAH                                                                                                                                                                                ",1200000038,'08000000000,"18A,MuyibatOyefusiStreet,OmoleEstatePhase1,Lagos.",ANTHONY                                 ,LAGOS,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
THE GSM PLANET                                                                                                                                                                                          ,1200000039,09094579447         ,"1,AyanboyeStreet,Anthony-Lagos.",IKEJA                                   ,LAGOS,MBONU UZOKWU                  ,IKENNA                        ,'08000000000,uzombonu@yahoo.com                                                                                                                                                                                      
DAMIDOLS VENTURES                                                                                                                                                                                       ,1200000041,08099702718         ,"9,ToyinStreet,Lagos.",IKEJA                                   ,LAGOS,DAMIDOLS                      ,VENTURES                      ,'08000000000,sales@damidols.com                                                                                                                                                                                      
LUMMY COMMS                                                                                                                                                                                             ,1200000042,07039342834         ,"2,OshoStreet,Opebi",AMUWO                                   ,LAGOS,EGBERINDE                     ,OLUMIDE                       ,'08000000000,olumide.egberinde@yahoo.com                                                                                                                                                                             
UDIWE GLOBAL TRADING                                                                                                                                                                                    ,1200000043,08117881141         ,"Block298,Flat4,AmuwoOdofinMile2Estate,Lagos",IPAJA                                   ,LAGOS,UDIWE                         ,GLOBAL TRADING                ,'08000000000,udiweglobal@gmail.com                                                                                                                                                                                   
SUPERTEL LIMITED                                                                                                                                                                                        ,1200000044,08035808300         ,"4,OlajideAgboolaStreet,OffWaleFamutimiStreet,Ago40Estate,Lagos.",IKEJA                                   ,LAGOS,OKAFOR                        ,SUNNY                         ,08121662222         ,okafor.sunday@gmail.com                                                                                                                                                                                 
L & S TRADING AND SOLUTIONS LTD                                                                                                                                                                         ,1200000045,07065726182         ,"3,OtigbaStreet,OppWestgateTechnologyByAdepeleStreet,ComputerVillage-Lagos.",SHOMOLU                                 ,LAGOS,LEONARD                       ,CHUKWUMA                      ,'08000000000,lyonck5@yahoo.com                                                                                                                                                                                       
OKAYFONES LTD                                                                                                                                                                                           ,1200000046,08143020000         ,"53,PopoolaStreet,OffPedroRoad,Bariga-Lagos.",IKEJA                                   ,LAGOS,ADELEKE                       ,OGUNTADE                      ,'08000000000,info@okayfones.com                                                                                                                                                                                      
FLOWTECH                                                                                                                                                                                                ,1200000047,08082838141         ,"19A,AwolowoWay,Lagos.",OSHODI                                  ,LAGOS,EGBEWANDE                     ,DOYINSOLA                     ,'08000000000,egbewandefolahanmi@gmail.com                                                                                                                                                                            
KACKS 247                                                                                                                                                                                               ,1200000049,07033560161         ,"8,AtandaStreet,Mafoluku-Oshodi,Lagos",LEKKI                                   ,LAGOS,AJAYI                         ,OLUWASEYI                     ,'08000000000,fashionkacks247@gmail.com                                                                                                                                                                               
EWA                                                                                                                                                                                                     ,1200000050,08024031394         ,"Block4,FlatB,CarringtonCluster,MilvertonCourtApartment,Agungi",OJODU                                   ,LAGOS,AMODU                         ,OLUWAKEMI                     ,'08000000000,ebicon001@gmail.com                                                                                                                                                                                     
G - TOP COMMUNICATIONS (NEBU PETER CHINEDU)                                                                                                                                                             ,1200000051,'08000000000,"1,JacobNwakoloOmolePhaseIiEstate,OjoduBerger-Lagos",SURULERE                                ,LAGOS,NEBO PETER                    ,CHINEDU                       ,'08000000000,gtopmobiletalk@gmail.com                                                                                                                                                                                
KUPSONREX                                                                                                                                                                                               ,1200000052,08033355300         ,"72,OjuelegbaRoad,Lagos.",SURULERE                                ,LAGOS,OKAFOR                        ,EMMANUEL EMEKA                ,'08000000000,emmysaid@yahoo.com                                                                                                                                                                                      
ALPHAKASH ONLINE (ILORIN)                                                                                                                                                                               ,1200000053,08101805064         ,"35,IseyinStreet,OffAgunlejikaStreet,Ijesha-Lagos.",IKOTUN                                  ,LAGOS,OMOTOSHO                      ,KAZEEM                        ,'08000000000,noemailaddress@thiscorporate.com
THE BEAUTY EMPIRE                                                                                                                                                                                       ,1200000054,08029242008         ,"20,OladunjoyeStreet,Ikotun-Egbe,Lagos",MAGODO                                  ,LAGOS,IBUKUN                        ,ANIBIJUWON                    ,'08000000000,bamise88@yahoo.com                                                                                                                                                                                      
KNOX                                                                                                                                                                                                    ,1200000057,08037376085         ,"Plot12A,AlhajiAkeemOdumosuCrescent,Magodo-Isheri",ISOLO                                   ,LAGOS,DEBOLA                        ,FASH                          ,'08000000000,deb.lawal@yahoo.com                                                                                                                                                                                     
LUXURY DEN                                                                                                                                                                                              ,1200000058,08034567180         ,"Block417,Flat6,JakandeEstate",YABA                                    ,LAGOS,RUFAI OLUFEMI                 ,AKINDELE                      ,'08000000000,luxurydenlagos@gmail.com                                                                                                                                                                                
THE WARDROBE                                                                                                                                                                                            ,1200000059,08101349945         ,"8,AdetayoOshoStreet,Akoka-Yaba,Lagos",IKEJA                                   ,LAGOS,ANGELA                        ,ANGELA                        ,'08000000000,thewardrobengltd@gmail.com                                                                                                                                                                              
CUSTOM GIANT TEDDY FACTORY                                                                                                                                                                              ,1200000060,08038242702         ,"37,AllenAvenue",KETU                                    ,LAGOS,MARCUS OLAWALE                ,AKINLAJA                      ,'08000000000,noemailaddress@thiscorporate.com
CSSUPPORT                                                                                                                                                                                               ,1200000076,08116242452         ,"13,OkunowoStreetIkosi-Lagos.",OGBA                                    ,LAGOS,IFEYINWA                      ,JIBULU                        ,'08000000000,prettybelle@yahoo.co.uk                                                                                                                                                                                 
TEENG                                                                                                                                                                                                   ,1200000082,07083836834         ,88MojisolaStreetIfakoIjayeOgbaIkejaLagos,EJIGBO                                  ,LAGOS,TEENA                         ,NWANA                         ,'08000000000,teena.nwana@gmail.com                                                                                                                                                                                   
SOFA - CENTRE (TAM DAVID)                                                                                                                                                                               ,1200000083,08023683854         ,"23,OlusesiClose,ByJubrilOlubisiRoad,IdimuRoad-Lagos.",LEKKI                                   ,LAGOS,TAM                           ,DAVID                         ,'08000000000,info@sofecentreng.com                                                                                                                                                                                   
USEN'S STORE - (ETUKUDO USEN SUNDAY)                                                                                                                                                                    ,1200000084,08062845029         ,"S3,Unit2,LekkiGardensPhaseIi,Lekki-EpeExpressway",IKEJA                                   ,LAGOS,USEN SUNDAY                   ,ETUKUDO                       ,'08000000000,usenjohn1@gmail.com                                                                                                                                                                                     
POLISHED DELTANS NIG. LTD (BRENOLA ATOTUOMAH)                                                                                                                                                           ,1200000086,08036122732         ,"PlotCl2,IkosiRoad,Oregun-Lagos.",IKEJA                                   ,LAGOS,BRENOLA                       ,ATOTUOMAH                     ,'08000000000,polished_deltans@yahoo.com                                                                                                                                                                              
MARKISIONA (CHINEYE PETERS)                                                                                                                                                                             ,1200000087,07015226301         ,"14,LadipoKuku,OffAllenAvenue,Lagos.",SURULERE                                ,LAGOS,CHINEYE                       ,PETERS                        ,'08000000000,glleenwood2122@yahoo.pt                                                                                                                                                                                 
CREATON INNOVATION                                                                                                                                                                                      ,1200000088,08083829324         ,"67,OjuelegbaRoad,Lagos.",SURULERE                                ,LAGOS,TOLULOPE                      ,IWAOTAN                       ,'08000000000,streak1033@yahoo.com                                                                                                                                                                                    
CARE EXPRESS (FEMI FISHER)                                                                                                                                                                              ,1200000100,09090404972         ,"67,OjuelegbaRoad,Lagos.",LEKKI                                   ,LAGOS,FEMI                          ,FISHER                        ,'08000000000,careexpress07@gmail.com                                                                                                                                                                                 
GOZ - VIC (HENRY OYEMALO)                                                                                                                                                                               ,1200000103,08073094756         ,"LekkiPhaseI,Lagos.",SURULERE                                ,LAGOS,HENRY                         ,OYEMALO                       ,'08000000000,lyddallen2003@yahoo.co.uk                                                                                                                                                                               
BIGSHOP - UGO ODIAKOSE                                                                                                                                                                                  ,1200000104,08068281852         ,"67,OjuelegbaRoad,",AJAO ESTATE                             ,LAGOS,UGO                           ,ODIAKOSE                      ,'08000000000,ugomath2001@yahoo.com                                                                                                                                                                                   
BELL'AFRIQ PALACE                                                                                                                                                                                       ,1200000112,07055716154         ,"4,FoworaClose,Lagos.",OJODU                                   ,LAGOS,YUSUF                         ,OLOLADE                       ,'08000000000,y.ololade0110@gmail.com                                                                                                                                                                                 
JAY WEARS (ALABI JOSHUA)                                                                                                                                                                                ,1200000113,07068324686         ,"6,AdebeshinStreet,ViaOjoduBerger,Lagos.",KETU                                    ,LAGOS,ALABI                         ,JOSHUA                        ,'08000000000,jasper2nice@yahoo.com                                                                                                                                                                                   
